latitude,longitude
21.3741617,106.557111
21.0439771,105.9252189
15.8126693,108.3078796
20.3753782,106.2899973
20.3764302,106.1049796
21.2252129,104.0149941
12.6715288,108.2819875
20.9000016,106.5689519
19.1979665,105.7017349
10.3320595,106.5832977
19.0033146,104.9985863
10.7371289,106.956209
19.9870283,105.377342
9.8184815,105.2103259
9.9115417,105.0361894
10.1607179,106.5816964
20.9818778,105.7666871
19.8370105,105.8469664
12.5753276,109.0481173
21.3965409,105.3327325
20.2627812,106.0663617
10.4380695,106.4500819
15.6410649,108.4485394
21.6145271,105.2255353
21.1777491,105.530583
21.46942,106.2407108
20.1814977,106.3305225
20.5136216,104.7050933
21.5181472,105.8044821
14.0846984,109.0955955
12.4022716,108.1394688
20.4044153,106.134942
21.4213804,105.5305452
20.8514188,106.4268605
10.9974705,106.8793459
20.7404763,105.3921341
21.0642301,106.0173013
10.4119932,106.4580184
21.2872009,106.2305675
21.8566818,105.5956909
21.2168183,105.6078697
11.039346,106.231819
21.1441713,106.0231294
10.2804539,106.2944198
17.6969947,106.4583255
9.6038722,105.4148345
9.949564,105.1212448
21.0336533,105.9265597
10.8198541,106.7073149
15.2370711,108.7776915
21.0538477,105.7090048
13.9481349,108.124035
21.7811714,105.5802747
21.4279379,105.291452
11.2587487,107.4332938
11.9700942,108.4242707
11.1225936,106.8692485
21.3428343,106.299642
19.741783,105.8869198
21.2556757,105.0838019
20.4188247,106.5062781
13.9814467,109.094668
18.2268097,105.6473199
10.9371007,107.2544092
11.9776286,109.2229308
20.7194808,106.461408
21.5302487,106.1166805
21.2151838,105.8001788
21.1386423,105.1272827
20.8349049,106.229694
21.3235497,105.4031365
21.3835317,105.9793608
21.4543367,105.1622194
20.5632116,106.1701986
21.7032996,105.9211139
10.7787741,106.6475363
9.9604202,105.992668
21.8223382,105.2372801
20.6015665,105.6022192
10.8380439,106.5515395
21.1998293,105.307344
21.2103981,104.0524404
20.857734,106.1514755
13.9762495,108.0020072
20.2383642,105.8489745
21.6079321,105.9122394
21.3965178,105.9923364
10.7747981,106.6587863
20.8634686,105.830926
11.5455592,106.8699521
10.4961321,106.0864131
10.9147178,107.1742319
14.6691803,109.0674222
16.0703421,108.1661838
14.0207297,108.2478216
10.3627271,106.3517688
21.2403674,105.1756999
10.9265415,106.9294354
22.250874,104.7757664
20.8612996,106.4890967
21.0357582,106.4214263
20.7284991,105.8071061
21.2344986,105.7446474
19.7232233,105.4300141
10.1419482,105.862771
20.290254,105.9819905
16.0064571,108.1792537
13.4519294,108.3782937
21.0231784,106.428197
19.7123569,105.852528
14.0339503,108.7114173
9.9078435,105.1562421
15.9108572,108.1224713
10.4503345,106.0758029
20.9432213,106.3176852
13.9277893,109.1894956
21.0001899,106.9710445
21.3084354,105.5704969
20.1614497,106.2167702
20.1860098,106.149036
21.366311,105.1686464
21.3972639,105.5946502
18.6924394,105.5079988
19.927505,105.4483116
11.6113012,106.1814678
10.7358276,106.6584005
10.9848549,108.0329661
21.6343027,106.116397
20.9010771,105.5779753
21.0724582,105.2938257
21.0589892,106.6591878
11.6585095,106.6052663
22.4182605,103.4131982
21.4811914,105.0514358
15.3238497,108.204291
18.9220614,105.5834506
20.6618551,106.3043439
21.1974736,105.7773729
10.2874819,106.0024828
18.5246224,105.4514082
21.3696495,105.4582487
11.9771337,107.020855
10.0204022,106.5915415
11.0365643,106.3462795
10.9472645,106.9320425
11.0854472,106.4804033
21.42132,106.4948854
20.8564829,106.6756131
16.4941018,107.6179822
15.9763528,108.1282116
20.5713144,106.3691474
11.556036,107.3282705
9.2721875,105.4414317
18.6710565,105.6932118
21.6039863,105.7502103
21.5377075,107.7327141
15.3001587,108.8188854
19.9730243,105.649064
21.5786832,105.1858016
10.4719435,106.193506
10.416377,106.7156057
14.0122487,108.0691664
10.493429,105.9967724
11.0076188,106.8515962
21.2906189,105.2366611
21.3670543,105.0438023
20.8518352,105.6144664
20.3461162,106.5391829
15.074887,108.8181786
15.1294338,108.8690349
10.743579,105.2983859
20.7274671,106.7759924
15.4509565,108.6059203
21.4137494,106.2510343
14.1323775,109.1398251
14.3573706,108.5706013
11.9574867,108.4464257
20.9239984,106.4493737
22.8370497,106.6628869
22.3794078,103.1595591
21.101995,106.0013348
20.7285561,107.0536288
21.4599345,105.0844203
21.8568338,104.594328
11.4554822,106.312544
20.9323649,105.7674583
14.9327441,108.9330388
11.2129807,107.3979342
14.9424765,108.2724249
21.0848892,105.7384542
10.7779604,106.6049645
20.5663539,106.3198124
21.3214402,106.2162441
20.090651,105.3713018
21.5988689,104.5168945
10.3326745,107.0853557
21.0660069,106.1341926
19.7558501,105.7324697
22.8285552,106.5317423
10.4023207,106.1212912
13.6962777,108.0367801
21.3927138,106.1581866
19.9975472,106.1771568
14.3477691,107.7673964
20.9288638,106.1513777
16.3150273,107.1891906
21.0837105,106.9046116
11.9698845,109.184567
10.3486566,106.755639
10.330297,105.8906664
21.2490462,106.3577638
21.3566242,106.7360723
21.1550852,105.888155
19.9341538,105.8118951
13.9622598,108.2845689
10.2726676,106.6755565
22.7216268,104.9804213
21.5007784,105.1421913
20.8899164,106.3105901
14.0588125,108.8120062
20.4376966,106.2192598
20.9869114,105.8406198
20.2123508,106.3139167
22.2754222,104.8756341
11.5652324,106.2632141
13.0739029,107.8848678
21.520266,105.0795109
22.2157636,103.407872
21.0376458,105.7764826
20.3792028,105.8292939
22.171093,104.3216027
16.5178316,107.4458376
10.4195187,106.619849
21.4348396,105.2051063
21.1886083,106.3783568
10.7160822,107.9379544
15.6468766,108.2861836
20.6420506,106.5589757
10.5949785,106.6185728
21.3233304,106.3437738
21.059966,104.2572552
21.1045034,105.2715325
10.2915394,106.7663236
20.8197425,105.9017296
9.7323766,106.0696113
21.3298141,105.9651746
21.7097683,105.7976845
20.9438493,106.4736611
18.1230658,106.1992925
12.5242876,107.6696111
19.9334281,105.4067829
10.0806031,105.2519013
21.0901009,107.4438965
10.3477674,107.0966215
20.2682422,106.3359162
14.0301517,107.984839
20.610082,105.9232
10.788108,106.9359599
21.4197512,105.8663953
10.7459584,107.3672336
10.8671062,106.8006478
21.9058858,105.0977562
21.3174324,106.2077227
21.148954,105.9230051
15.905396,108.2721507
14.3545971,108.0025162
10.9700399,108.1594482
21.4644816,106.0398567
21.4499606,105.5721948
15.0185453,108.3962065
10.4274534,106.3190837
20.952336,106.2406737
22.9389674,106.1316821
21.3590004,106.7574005
10.7266173,107.0755729
20.8860378,105.8462951
10.6615804,106.6923027
20.9687462,105.7653776
21.4183035,105.0608408
22.2644252,104.4226578
10.0042808,105.1360035
21.3838813,105.9792884
13.5864183,108.0998629
22.5286345,104.5431291
18.6810525,105.5198249
9.9824234,106.5294
20.7637697,105.840757
21.4984798,105.5381692
21.6283748,103.6855663
